Period,Year,Season,Date,TrawlType,Site,Replicate,time_start,time_end,lat_start,long_start,lat_end,long_end,trawl_length_min,depth_m,depth_start_m,depth_end_m,depth_min_m,depth_max_m,tow_direction,boat_speed_knts_avg,collectors
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 3,2,2017-06-16 14:46:00 PDT,2017-06-16 14:56:00 PDT,35.341,-120.8458333,35.34296667,-120.8458333,10,0.61,0.61,0.61,0.61,0.67,300°NW/15°N,0.8,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 3,3,2017-06-16 15:06:00 PDT,2017-06-16 15:16:00 PDT,35.34131667,-120.8456833,35.34345,-120.8458,10,0.62,0.64,0.61,0.61,0.67,0°N,1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 4,1,2017-06-16 15:35:00 PDT,2017-06-16 15:45:00 PDT,35.33215,-120.8528333,35.33005,-120.8537,10,0.9,0.82,0.98,0.73,3.81,140°SE,1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 4,2,2017-06-16 16:04:00 PDT,2017-06-16 16:14:00 PDT,35.32995,-120.85485,35.3332,-120.8535,10,0.98,0.82,1.13,0.7,1.43,30°NE,1.1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 4,3,2017-06-16 16:43:00 PDT,2017-06-16 16:53:00 PDT,35.32993333,-120.8558333,35.33418333,-120.8559667,10,0.88,0.91,0.85,0.82,1.16,15°N,1.1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 1,3,2017-06-14 14:15:00 PDT,2017-06-14 14:25:00 PDT,35.3426,-120.8473333,35.34626667,-120.8474667,10,5.44,4.45,6.43,4.39,6.46,347°N,1.4,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 2,1,2017-06-14 13:02:00 PDT,2017-06-14 13:12:00 PDT,35.3528,-120.8474,35.3553,-120.8488333,10,3.51,4.36,2.65,2.26,4.6,316°NW,1.4,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 2,2,2017-06-14 13:41:00 PDT,2017-06-14 13:51:00 PDT,35.3536,-120.84835,35.35648333,-120.8501667,10,4.65,4.69,4.6,2.19,5,319°NW,1.1,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 2,3,2017-06-14 14:45:00 PDT,2017-06-14 14:55:00 PDT,35.34618333,-120.8471167,35.34973333,-120.84595,10,4.68,4.79,4.57,4.57,6.64,39°NE,1,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 3,1,2017-06-14 11:07:00 PDT,2017-06-14 11:17:00 PDT,35.36765,-120.8641667,35.3655,-120.86565,10,6.04,6.61,5.46,4.24,6.61,200°S,1.3,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 3,2,2017-06-14 10:04:00 PDT,2017-06-14 10:14:00 PDT,35.36863333,-120.8634667,35.36556667,-120.8658833,10,5.93,6.1,5.76,4.69,7.1,200°S,1.3,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/14/2017,Otter,Otter 3,3,2017-06-14 12:10:00 PDT,2017-06-14 12:20:00 PDT,35.37038333,-120.8612833,35.3667,-120.8548667,10,6.2,7.32,5.09,4.39,7.32,128°E,1.4,"O'Leary, Stephens, Boland, McKechnie, Doehring"
Post-Decline,2017,Summer,6/15/2017,Otter,Otter 1,1,2017-06-15 09:50:00 PDT,2017-06-15 10:00:00 PDT,35.33745,-120.8461667,35.34135,-120.8471167,10,5.11,6.4,3.81,4.3,6.4,5°N,1,"O'Leary, McKechnie, Hart, Pass"
Post-Decline,2017,Summer,6/15/2017,Otter,Otter 1,2,2017-06-15 10:23:00 PDT,2017-06-15 10:33:00 PDT,35.34193333,-120.8476833,35.34551667,-120.848,10,5.01,4.15,5.88,4.15,5.97,15°N,1,"O'Leary, McKechnie, Hart, Pass"
